product_id,name,description,price,category
1,Classic Cheeseburger,"A juicy all-beef patty with American cheese, lettuce, tomato, onion, and our signature sauce.",12.99,Burgers & Sandwiches
2,Double Cheeseburger,"Two beef patties stacked with double American cheese and classic fixings.",15.99,Burgers & Sandwiches
3,Triple Cheeseburger,"Three beef patties for the ultimate appetite, loaded with cheese and sauce.",18.99,Burgers & Sandwiches
4,Bacon BBQ Burger,"Our classic burger topped with crispy bacon, cheddar cheese, onion rings, and tangy BBQ sauce.",14.99,Burgers & Sandwiches
5,Double Bacon BBQ Burger,"Two patties, extra bacon, and extra onion rings with BBQ sauce.",17.99,Burgers & Sandwiches
6,Mushroom Swiss Burger,"Smothered in sautéed mushrooms and melted Swiss cheese on a toasted bun.",13.99,Burgers & Sandwiches
7,Spicy Jalapeño Burger,"Kicks it up a notch with spicy jalapeños, pepper jack cheese, and chipotle aioli.",13.99,Burgers & Sandwiches
8,The Aussie Burger,"A true classic with beetroot, a fried egg, pineapple, bacon, cheese, lettuce, and tomato.",16.99,Burgers & Sandwiches
9,The Aussie Works Burger,"Double patty, beetroot, egg, pineapple, bacon, and grilled onions.",19.99,Burgers & Sandwiches
10,Grilled Chicken Sandwich,"A tender grilled chicken breast with lettuce, tomato, and mayonnaise.",12.99,Burgers & Sandwiches
11,Crispy Chicken Sandwich,"A perfectly crispy fried chicken breast with pickles and our signature sauce.",12.99,Burgers & Sandwiches
12,Chicken Schnitzel Burger,"Golden crumbed chicken schnitzel with lettuce, cheese, and mayonnaise.",14.99,Burgers & Sandwiches
13,Chicken Parmigiana Burger,"Crumbed schnitzel topped with napoli sauce, ham, and melted mozzarella on a bun.",15.99,Burgers & Sandwiches
14,Southern Fried Chicken Burger,"Buttermilk fried chicken with coleslaw and sriracha mayo.",14.99,Burgers & Sandwiches
15,Peri-Peri Chicken Burger,"Grilled chicken breast marinated in spicy peri-peri sauce with lettuce and tomato.",13.99,Burgers & Sandwiches
16,Steak Sandwich,"Tender scotch fillet on Turkish bread with caramelized onions, lettuce, tomato, and BBQ sauce.",18.99,Burgers & Sandwiches
17,Open Steak Sandwich,"Served open-face on sourdough with rocket, tomato relish, and onion rings.",19.99,Burgers & Sandwiches
18,BLT Sandwich,"Crispy bacon, fresh lettuce, and tomato on toasted thick-cut bread with mayo.",11.99,Burgers & Sandwiches
19,Club Sandwich,"Triple-decker with roasted turkey, bacon, lettuce, tomato, and mayo.",14.99,Burgers & Sandwiches
20,Veggie Delight Burger,"A seasoned plant-based patty with avocado, sprouts, and hummus.",13.99,Burgers & Sandwiches
21,Beyond Classic Burger,"100% plant-based Beyond Meat patty with vegan cheese and mustard.",15.99,Burgers & Sandwiches
22,Mushroom Haloumi Burger,"Grilled large field mushroom with squeaky haloumi cheese and pesto.",14.99,Burgers & Sandwiches
23,Fish Burger,"Battered barramundi fillet with tartare sauce and crisp lettuce.",14.99,Burgers & Sandwiches
24,Salmon Burger,"Grilled salmon patty with dill yogurt sauce and cucumber.",16.99,Burgers & Sandwiches
25,Breakfast Burger,"Beef patty, bacon, fried egg, hash brown, and cheese on a brioche bun.",15.99,Burgers & Sandwiches
26,Avocado Bacon Burger,"Fresh avocado slices, crispy bacon, and Swiss cheese.",15.49,Burgers & Sandwiches
27,Blue Cheese Burger,"Topped with crumbled blue cheese and caramelized onions.",14.99,Burgers & Sandwiches
28,Hawaiian Burger,"Beef patty topped with grilled pineapple, ham, and melted cheese.",14.49,Burgers & Sandwiches
29,Truffle Mushroom Burger,"Sautéed mushrooms with truffle aioli and provolone cheese.",16.49,Burgers & Sandwiches
30,Philly Cheese Steak Roll,"Thinly sliced steak with sautéed onions, peppers, and melted provolone.",15.99,Burgers & Sandwiches
31,Pulled Pork Roll,"Slow-cooked BBQ pulled pork with coleslaw on a brioche bun.",14.99,Burgers & Sandwiches
32,Brisket Burger,"Smoked beef brisket with pickles and mustard BBQ sauce.",16.99,Burgers & Sandwiches
33,Turkey Burger,"Lean ground turkey patty with cranberry sauce and brie.",13.99,Burgers & Sandwiches
34,Lamb Burger,"Seasoned lamb patty with tzatziki, feta, and olive tapenade.",16.99,Burgers & Sandwiches
35,Slider Trio,"Three mini burgers: one Cheeseburger, one Pulled Pork, one Crispy Chicken.",15.99,Burgers & Sandwiches
36,Classic Pepperoni Pizza,"A timeless classic with a generous layer of zesty pepperoni and mozzarella cheese.",19.99,Pizzas
37,Double Pepperoni Pizza,"Double the pepperoni for meat lovers.",22.99,Pizzas
38,Margherita Pizza,"Simple and delicious with fresh mozzarella, basil, and a robust tomato sauce.",17.99,Pizzas
39,Supreme Pizza,"Loaded with pepperoni, sausage, bell peppers, onions, olives, and mushrooms.",24.99,Pizzas
40,BBQ Chicken Pizza,"Tender grilled chicken, red onions, and cilantro on a sweet and tangy BBQ sauce base.",22.99,Pizzas
41,Veggie Delight Pizza,"A garden on a pizza! Topped with bell peppers, onions, olives, mushrooms, and fresh tomatoes.",21.99,Pizzas
